periodo;indice;valor
201610;metro_cuenca_3;589609
201610;metro_cuenca_6;1103095
201610;metro_cuenca_7_integrados;379217
201610;metro_cuenca_5_integrados;0
201610;metro_tranvia;434404
201610;metro_linea_h;0
201710;metro_linea_a;15567420
201710;metro_linea_b;2794918
201710;metro_linea_k;642659
201710;metro_linea_j;443270
201710;metro_linea_l;72443
201710;metro_linea_1_buses;2119555
201710;metro_linea_2_buses;336269
201710;metro_cuenca_3;642348
201710;metro_cuenca_6;1092715
201710;metro_cuenca_7_integrados;406003
201710;metro_cuenca_5_integrados;424048
201710;metro_tranvia;669999
201710;metro_linea_h;61217
201111;metro_linea_a;11400883
201111;metro_linea_b;1970083
201111;metro_linea_k;530352
201111;metro_linea_j;249783
201111;metro_linea_l;66532
201111;metro_linea_1_buses;0
201211;metro_linea_a;11943062
201211;metro_linea_b;2064561
201211;metro_linea_k;531304
201211;metro_linea_j;285364
201211;metro_linea_l;65179
201211;metro_linea_1_buses;1021419
201311;metro_linea_a;12990948
201311;metro_linea_b;2208810
201311;metro_linea_k;573924
201311;metro_linea_j;347354
201311;metro_linea_l;62073
201311;metro_linea_1_buses;1373085
201311;metro_linea_2_buses;160376
201311;metro_cuenca_3;70002
201311;metro_cuenca_6;68222
201411;metro_linea_a;13573843
201411;metro_linea_b;2306473
201411;metro_linea_k;457103
201411;metro_linea_j;364854
201411;metro_linea_l;50904
201411;metro_linea_1_buses;1782297
201411;metro_linea_2_buses;334208
201411;metro_cuenca_3;455002
201411;metro_cuenca_6;872802
201511;metro_linea_a;14881312
201511;metro_linea_b;2469658
201511;metro_linea_k;618303
201511;metro_linea_j;420042
201511;metro_linea_l;73400
201511;metro_linea_1_buses;1876598
201511;metro_linea_2_buses;320606
201511;metro_cuenca_3;519261
201511;metro_cuenca_6;994328
201611;metro_linea_a;15194187
201611;metro_linea_b;2595602
201611;metro_linea_k;613028
201611;metro_linea_j;409257
201611;metro_linea_l;68126
201611;metro_linea_1_buses;1996823
201611;metro_linea_2_buses;328415
201611;metro_cuenca_3;563576
201611;metro_cuenca_6;1050024
201611;metro_cuenca_7_integrados;378563
201611;metro_cuenca_5_integrados;0
201611;metro_tranvia;413092
201611;metro_linea_h;0
201711;metro_linea_a;14791658
201711;metro_linea_b;2703267
201711;metro_linea_k;636745
201711;metro_linea_j;432012
201711;metro_linea_l;74700
201711;metro_linea_1_buses;2046099
201711;metro_linea_2_buses;329126
201711;metro_cuenca_3;615586
201711;metro_cuenca_6;1036227
201711;metro_cuenca_7_integrados;399708
201711;metro_cuenca_5_integrados;413201
201711;metro_tranvia;674946
201711;metro_linea_h;59289
201112;metro_linea_a;12699496
201112;metro_linea_b;2044723
201112;metro_linea_k;617214
201112;metro_linea_j;281159
201112;metro_linea_l;98438
201112;metro_linea_1_buses;146265
201212;metro_linea_a;12508440
201212;metro_linea_b;2046501
201212;metro_linea_k;603826
201212;metro_linea_j;314662
201212;metro_linea_l;97437
201212;metro_linea_1_buses;966684
201312;metro_linea_a;13763172
201312;metro_linea_b;2203075
201312;metro_linea_k;655997
201312;metro_linea_j;381337
201312;metro_linea_l;84273
201312;metro_linea_1_buses;1406731
201312;metro_linea_2_buses;194409
201312;metro_cuenca_3;168976
201312;metro_cuenca_6;115126
201412;metro_linea_a;14515230
201412;metro_linea_b;2322375
201412;metro_linea_k;654265
201412;metro_linea_j;398255
201412;metro_linea_l;94022
201412;metro_linea_1_buses;1752707
201412;metro_linea_2_buses;342936
201412;metro_cuenca_3;447203
201412;metro_cuenca_6;821398
201512;metro_linea_a;15551802
201512;metro_linea_b;2456015
201512;metro_linea_k;683135
201512;metro_linea_j;355107
201512;metro_linea_l;120637
201512;metro_linea_1_buses;1822264
201512;metro_linea_2_buses;330811
201512;metro_cuenca_3;493007
201512;metro_cuenca_6;938575
201612;metro_linea_a;15993181
201612;metro_linea_b;2535013
201612;metro_linea_k;698888
201612;metro_linea_j;446320
201612;metro_linea_l;114172
201612;metro_linea_1_buses;1929735
201612;metro_linea_2_buses;335095
201612;metro_cuenca_3;540908
201612;metro_cuenca_6;983874
201612;metro_cuenca_7_integrados;364853
201612;metro_cuenca_5_integrados;24687
201612;metro_tranvia;514277
201612;metro_linea_h;19264
201712;metro_linea_a;15265404
201712;metro_linea_b;2474290
201712;metro_linea_k;709528
201712;metro_linea_j;442552
201712;metro_linea_l;117470
201712;metro_linea_1_buses;1938156
201712;metro_linea_2_buses;321518
201712;metro_cuenca_3;570515
201712;metro_cuenca_6;954275
201712;metro_cuenca_7_integrados;375026
201712;metro_cuenca_5_integrados;358781
201712;metro_tranvia;695828
201712;metro_linea_h;63793
201709;metro_cuenca_9_integrados;127577
201710;metro_cuenca_9_integrados;129066
201711;metro_cuenca_9_integrados;126932
201712;metro_cuenca_9_integrados;113086
201801;metro_linea_h;47162
201801;metro_linea_a;13502214
201801;metro_linea_b;2169943
201801;metro_linea_k;651480
201801;metro_linea_j;414478
201801;metro_linea_l;130621
201801;metro_linea_1_buses;1831822
201801;metro_linea_2_buses;303527
201801;metro_cuenca_3;554229
201801;metro_cuenca_6;956004
201801;metro_cuenca_5_integrados;366202
201801;metro_cuenca_7_integrados;356622
201801;metro_cuenca_9_integrados;107738
201801;metro_tranvia;639973
201802;metro_linea_h;55351
201802;metro_linea_a;13676859
201802;metro_linea_b;2328886
201802;metro_linea_k;603168
